Product_code;Product_name;;
821411;Американо декаф 135мл;;
821412;Эспрессо декаф 35мл;;
821413;Эспрессо 35мл;;
821414;Американо 135мл/б;;
821415;Фильтр Сальвадор 230мл;;
821416;Cold Brew содовая 300мл;;
821417;Cold Brew молоко 300мл;;
821418;Cold Brew бутылка 500мл;;
821419;Фильтр Кения 230мл;;
821420;Фильтр Кения 300мл с/с;;
821421;Фильтр Иргачиф 300мл с/с;;
821422;Фильтр Бразилия 230мл;;
821423;Фильтр Бразилия 300мл с/с;;
821424;Американо М 90мл;;
821425;Доппио М 60мл;;
822001;ЭСПРЕССО кон ПАННА 60 мл;;
822002;РАФ Кофе 250мл;;
822003;Кофе МАКИАТО 40мл;;
822004;Кофе ЛАТТЕ 270МЛ;;
822006;Кофе КАПУЧИНО 150мл;;
822007;КАПУЧИНО ГРАНДЕ 350;;
822008;Кофе ГЛЯССЕ  100 мл;;
822009;АЙРИШ Кофе классич. 230мл;;
822010;КИНДЕР Кофе 220мл;;
822011;Кофе по-Алжирски 120мл;;
822012;Кофе по-Дачному 250мл;;
822014;Кофе по-Мексикански 120мл;;
822015;Кофе по-Тайландски 240мл;;
822016;Кофе по-дачн.Сицилия 250м;;
822017;Кофе по-дачн.Венская 250м;;
822018;Кофе по-дачн.Сафари 250мл;;
822020;Кофе по-дачн.Смит Рок 250;;
822021;Киндер кофе Сицилия 230мл;;
822022;Киндер кофе Венская 230мл;;
822023;Киндер кофе Сафари 230мл;;
822024;Киндер кофе Смит Рок 230м;;
822025;Эспрессо кон Панна 40мл;;
822026;Капучино Крим 150мл;;
822027;Эйр 230мл;;
822028;Мокачино 230мл;;
822029;Кон Панна 100мл;;
822030;Кофе по-дач.Э.Бар250мл;;
822031;Кофе Кортадо 150мл;;
822032;Кофе по-дач. XXI 250мл;;
822033;Кофе по-дач.Прокоп250мл;;
822034;Кофе по-дач.Фр.Роаст250мл;;
822035;Кофе по-дачному 250мл нов;;
822036;Кофе-Кабана 230мл;;
822037;Ромео/Джульетта 230мл;;
822038;По-тайски 270мл;;
822039;Кофе Императорскiй 150мл;;
822040;Кофе по мекcикански130мл;;
822041;Кофе по французски115мл;;
822042;Рождественский 150мл;;
822043;Иствикские страсти 110мл;;
822044;Капучино XL 350мл;;
822045;Капучино Гранде н/ж 350мл;;
822046;Мокачино н/ж  230 мл;;
822047;Латте н/ж   270мл;;
822048;Кофе по тайски н/ж  270мл;;
822049;Мега Капучин.Фитнесс350мл;;
822050;Капучино Фитнесс 270мл;;
822051;Капучино 270мл;;
822052;Капучино н/ж 270мл;;
822053;Мега Капучино 350мл;;
822054;Мега Капучино н/ж 350мл;;
822055;Мокачино 270мл;;
822056;Мокачино н/ж 270мл;;
822057;Капучино Джинд(Дриббл)150;;
822058;Дольче Латте 230мл;;
822059;Айс Латте 250мл;;
822060;Капуч White velvet 150мл;;
822061;Мокачино 150мл;;
822062;Капучино S.O.Y.A. 150мл;;
822063;Латте cоевое 270мл;;
822064;Раф Де каф 250мл;;
822065;Капучино Гранд соев 350мл;;
822066;Дольче Латте соев 230мл;;
822067;Латте Дольче Амарет 230мл;;
822068;Латте Дольч Шок-Мят 230мл;;
822069;Латте Дольче Кокос 230мл;;
822070;Латте Дольче Банан 230мл;;
822071;Латте Дольче Имб пр 230мл;;
822072;Латте Дольче Лес ор 230мл;;
822073;Латте Дольче Ваниль 230мл;;
822074;Латте Дольче Айр/кр 230мл;;
822075;Латте Дольче Карам 230мл;;
822076;Латте Дольче Мята 230мл;;
822077;Латте Дол Минд Мол 230мл;;
822078;Латте Дольче Тофи 230мл;;
822079;Л/Д соя Шокол-Мята 230мл;;
822080;Л/Д соя Кокос 230мл;;
822081;Л/Д соя Имбирн Прян 230мл;;
822082;Л/Д соя Лесн Орех 230мл;;
822083;Л/Д соя Ваниль 230мл;;
822084;Л/Д соя Карамель 230мл;;
822085;Л/Д соя Мята 230мл;;
822086;Л/Д соя Минд Молоко 230мл;;
822087;Кофе Латте 300мл;;
822088;Кофе латте соевое 300мл;;
822089;Латте с собой 300мл;;
822090;Капучино с собой 200мл;;
822091;Капучино Крим с соб 200мл;;
822092;Раф кофе 350мл;;
822093;Капучино-фредо 130мл;;
822094;Капучино 170мл;;
822095;Капучино Крим 150мл;;
822096;Капучино S.O.Y.A. 170мл;;
822097;Мокачино/соя 150мл;;
822098;Кофе латте М 270мл;;
822099;Кофе Капучино М 150мл;;
822100;Капучино Гранде М 350мл;;
822101;Раф кофе М 350мл;;
822102;Лат Дол Карам М 230мл;;
822103;Лат Дол лес ор М 230мл;;
822104;Лат Дол Ваниль М 230мл;;
822105;Лат Дол Шок-Мят М 230мл;;
822106;Мокачино 150мл с/с;;
822107;Капучино 190мл;;
822108;Капучино Крим 190мл;;
822109;Раф Кофе 250мл;;
822110;Мокачино 170мл;;
822111;Латте Дольч Шок-Мят 200мл;;
822112;Латте Дольче Кокос 200мл;;
822113;Латте Дольче Имб пр 200мл;;
822114;Латте Дольче Лес ор 200мл;;
822115;Латте Дольче Ваниль 200мл;;
822116;Латте Дольче Карам 200мл;;
822117;Латте Дольче Мята 200мл;;
822118;Латте Дол Минд Мол 200мл;;
822120;Латте Дольч Кокос М 230мл;;
822121;Л/Д соя Шокол/Мята 200мл;;
822122;Л/Д соя Кокос 200мл;;
822123;Л/Д соя Имбир Прян 200мл;;
822124;Л/Д соя Лесн Орех 200мл;;
822125;Л/Д соя Ваниль 200мл;;
822126;Л/Д соя Карамель 200мл;;
822127;Л/Д соя Мята 200мл;;
822128;Л/Д соя Минд Молоко 200мл;;
822129;Капучино соя 190мл;;
822130;Капучино соя 200мл С/С;;
822131;Капуч Гранд соя 350мл С/С;;
822132;Латте соя 270мл С/С;;
822133;Пикколо соя 130мл С/С;;
822134;Раф на сое 350мл;;
822135;"Латте ""Корица"" 230мл";;
822136;Флэт Уайт 250мл;;
822137;Л/Д Шоколад-мята 400мл;;
822138;Л/Д Кокос 400мл;;
822139;Л/Д Имбирный пряник 400мл;;
822140;Л/Д Лесной орех 400мл;;
822141;Л/Д Ваниль 400мл;;
822142;Л/Д Карамель 400мл;;
822143;Л/Д Мята 400мл;;
822144;Л/Д Миндаль молоко 400мл;;
822145;Карамельный кофе 400мл;;
822146;Флэт Уайт 250мл С/С;;
822147;Латте 270мл Персонал;;
822148;Капучино 150мл Персонал;;
822149;Капучино Гранде 350мл Пер;;
822150;"Латте ""Корица"" 230мл Перс";;
822151;Айс Латте 250мл Персонал;;
822152;Раф Кофе 350мл Персонал;;
822153;Флэт Уайт/соя 250мл;;
822154;Латте Корица 400мл;;
822155;"Латте ""Корица"" соя 400мл";;
822156;Л/Д Шоколад-мята соя 400м;;
822157;Л/Д Кокос соя 400мл;;
822158;Л/Д имбирный пр соя 400мл;;
822159;Л/Д Лесной орех соя 400мл;;
822160;Л/Д Ваниль соя 400мл;;
822161;Л/Д Карамель соя 400мл;;
822162;Л/Д Мята соя 400мл;;
822163;Л/Д Миндаль мол соя 400мл;;
822164;Раф кофе 300мл;;
822165;"Латте ""Корица"" соя 230мл";;
822166;Флэт уайт 250мл персонал;;
822167;Латте Сингапур 230мл;;
822168;Апельсиновый Мокач 180мл;;
822169;Ореховый латте 230мл;;
822170;Латте Халва 300мл;;
822171;Латте Сингапур 400мл;;
822172;Капучино обжир/мол 230мл;;
822173;Раф кофе соя 300мл;;
822174;Раф кофе 300мл Персонал;;
822175;Кафе Лимончелло 170мл;;
822176;Ройбуш капучино 150мл;;
822177;Капучино 1;;
822178;Капуч Гранд1;;
822179;Латте 1;;
822180;Капучино 1;;
822181;Латте Кокос 300 мл;;
822182;Латте 300мл персонал;;
822183;Ванильное облако 300 мл;;
822184;Карамельный кофе 380 мл;;
822185;Латте Корица 380 мл;;
822186;Латте Сингапур 380 мл;;
822187;Латте Фисташка 230 мл;;
822188;Латте Фисташка 380 мл;;
822189;Латте Имбир пряник 230 мл;;
822190;Латте Имбир пряник 380 мл;;
822191;Латте соя 380 мл;;
822192;Латте Фисташка 400 мл;;
822193;Латте Имбир пряник 400 мл;;
822194;Латте соя 400 мл;;
822195;Латте Тыква 300 мл;;
822196;Капучино 280мл;;
822197;Капучино декаф 280 мл;;
822198;Латте 250 мл;;
822199;Латте декаф 250 мл;;
822200;Латте Батончик 230мл;;
822201;Латте Батончик 400мл;;
822202;Латте декаф 280мл;;
822203;Латте 280мл;;
822204;Айс Латте 500мл;;
822205;Айс Латте Ирис 300мл;;
822206;Латте Эстерхази 230мл;;
822207;Латте Эстерхази 400мл;;
822208;Мокачино с/с 230мл;;
822209;Латте Мята 230мл;;
822210;Латте Мята 400мл;;
822211;Латте банан 230мл;;
822212;Латте банан 400мл;;
822213;Латте соя 400мл;;
822214;Латте 1;;
823001;Горячий шоколад 100мл;;
823002;Кубинский  шоколад 100мл;;
823003;Шокол.гляссе 150мл;;
823004;Какао 230 мл;;
823005;Какао н/ж     230 мл;;
823006;Шоколадный гляссе 70мл;;
823007;Шоколад д/взрослых70мл;;
823008;Брит-поп 150мл;;
823009;Белый мокко 70мл;;
823010;Амели 150мл;;
823011;Какао 350мл;;
823012;Какао н/ж 350мл;;
823013;Айс-какао 250мл;;
823014;Карибский шоколад 100мл;;
823015;Французский шоколад 100мл;;
823016;Какао 200мл;;
823017;Какао 400мл;;
823018;Айс Латте 300мл;;
823019;Какао 300мл;;
823020;Горячий шоколад д/мор 50г;;
823021;Айс Какао 300мл;;
823022;Какао 380 мл;;
824001;Чай Ассам 300мл;;
824003;Чай У Лун Се Чунг300;;
824004;Чай зел.с жасм. 300;;
824006;Чай Кокей ча 300мл;;
824007;Чай Лапсанг Сучонг300;;
824009;АЙС ТИ 270мл;;
824010;Чай Дарджилинг 300мл;;
824011;Чай Эрл Грей 300мл;;
824012;Чай Оранж Спайс 300мл;;
824013;Чай Латте 230мл;;
824014;Чай Матэ 300мл;;
824015;Чай в пакетиках;;
824016;Чай Кения 300мл;;
824017;Чай Райбош карам.300мл;;
824018;Чай Фитнес-смесь 300мл;;
824019;Чай Сенча Япония300 мл;;
824020;Холодный красный чай 270;;
824021;Чай красный фрукт 270мл;;
824022;Чай Латте 350мл;;
824023;Чай Латте н/ж 350мл;;
824024;Чай Мелима Кения 350мл;;
824025;Чай Сенча 350мл;;
824026;Фитнесс чай 350мл;;
824027;Чай Лун Цзин 300мл;;
824028;Чай Моли Мин Мэй 300мл;;
824029;Чай Пуэр 300мл;;
824030;Чай Дянь Хун 300мл;;
824031;Чай Цзюнь Шань Тянь 230мл;;
824032;Чай Жень Шень У Лун 300мл;;
824033;Чай Уй Лун 300 мл;;
824034;Чай Моли Хуа Мао Дзянь300;;
824035;Чай Шуй Цзин Гуй 300мл;;
824036;Чай Османтус Хун Ча 300мл;;
824037;Чай Гунтинг Пу-Эр 300мл;;
824038;Чай Ассам Дарджилинг300мл;;
824039;Чай черный Ахмад 300мл;;
824040;Чай зеленый 300 мл;;
824041;Чай зеленый Жасмин 300мл;;
824042;Айс Ти Руби 350мл;;
824043;Чай Гуй Лун 600мл;;
824044;Чай Тайпин Хоукой 600мл;;
824045;Чай Белый из Гуанси 600мл;;
