VALUE,DATE,HOUR
239885,14.01.2009 0:00:00.000000,13
242139,14.01.2009 0:00:00.000000,14
245135,14.01.2009 0:00:00.000000,15
250956,14.01.2009 0:00:00.000000,16
253239,14.01.2009 0:00:00.000000,17
253825,14.01.2009 0:00:00.000000,18
254802,14.01.2009 0:00:00.000000,19
257780,14.01.2009 0:00:00.000000,20
257023,14.01.2009 0:00:00.000000,21
249717,14.01.2009 0:00:00.000000,22
251288,14.01.2009 0:00:00.000000,23
252526,14.01.2009 0:00:00.000000,24
249828,15.01.2009 0:00:00.000000,1
238196,15.01.2009 0:00:00.000000,2
244704,15.01.2009 0:00:00.000000,3
246533,15.01.2009 0:00:00.000000,4
245410,15.01.2009 0:00:00.000000,5
244705,15.01.2009 0:00:00.000000,6
246108,15.01.2009 0:00:00.000000,7
251298,15.01.2009 0:00:00.000000,8
245346,15.01.2009 0:00:00.000000,9
247399,15.01.2009 0:00:00.000000,10
247879,15.01.2009 0:00:00.000000,11
247663,15.01.2009 0:00:00.000000,12
240162,15.01.2009 0:00:00.000000,13
241887,15.01.2009 0:00:00.000000,14
242054,15.01.2009 0:00:00.000000,15
244322,15.01.2009 0:00:00.000000,16
245371,15.01.2009 0:00:00.000000,17
246705,15.01.2009 0:00:00.000000,18
248426,15.01.2009 0:00:00.000000,19
248930,15.01.2009 0:00:00.000000,20
246125,15.01.2009 0:00:00.000000,21
228314,15.01.2009 0:00:00.000000,22
212368,15.01.2009 0:00:00.000000,23
212756,15.01.2009 0:00:00.000000,24
210546,16.01.2009 0:00:00.000000,1
209304,16.01.2009 0:00:00.000000,2
208897,16.01.2009 0:00:00.000000,3
209292,16.01.2009 0:00:00.000000,4
206564,16.01.2009 0:00:00.000000,5
205944,16.01.2009 0:00:00.000000,6
208281,16.01.2009 0:00:00.000000,7
208917,16.01.2009 0:00:00.000000,8
211902,16.01.2009 0:00:00.000000,9
214042,16.01.2009 0:00:00.000000,10
216889,16.01.2009 0:00:00.000000,11
219422,16.01.2009 0:00:00.000000,12
218612,16.01.2009 0:00:00.000000,13
221234,16.01.2009 0:00:00.000000,14
220337,16.01.2009 0:00:00.000000,15
219473,16.01.2009 0:00:00.000000,16
215270,16.01.2009 0:00:00.000000,17
216809,16.01.2009 0:00:00.000000,18
217059,16.01.2009 0:00:00.000000,19
215944,16.01.2009 0:00:00.000000,20
215423,16.01.2009 0:00:00.000000,21
214261,16.01.2009 0:00:00.000000,22
214010,16.01.2009 0:00:00.000000,23
214088,16.01.2009 0:00:00.000000,24
213398,17.01.2009 0:00:00.000000,1
208999,17.01.2009 0:00:00.000000,2
209152,17.01.2009 0:00:00.000000,3
209482,17.01.2009 0:00:00.000000,4
208714,17.01.2009 0:00:00.000000,5
218450,17.01.2009 0:00:00.000000,6
218428,17.01.2009 0:00:00.000000,7
225803,17.01.2009 0:00:00.000000,8
221369,17.01.2009 0:00:00.000000,9
216031,17.01.2009 0:00:00.000000,10
211586,17.01.2009 0:00:00.000000,11
213315,17.01.2009 0:00:00.000000,12
211857,17.01.2009 0:00:00.000000,13
211161,17.01.2009 0:00:00.000000,14
210855,17.01.2009 0:00:00.000000,15
210481,17.01.2009 0:00:00.000000,16
210392,17.01.2009 0:00:00.000000,17
216429,17.01.2009 0:00:00.000000,18
215632,17.01.2009 0:00:00.000000,19
214563,17.01.2009 0:00:00.000000,20
212741,17.01.2009 0:00:00.000000,21
211278,17.01.2009 0:00:00.000000,22
210675,17.01.2009 0:00:00.000000,23
211148,17.01.2009 0:00:00.000000,24
213339,18.01.2009 0:00:00.000000,1
210658,18.01.2009 0:00:00.000000,2
209236,18.01.2009 0:00:00.000000,3
207874,18.01.2009 0:00:00.000000,4
207695,18.01.2009 0:00:00.000000,5
207997,18.01.2009 0:00:00.000000,6
208090,18.01.2009 0:00:00.000000,7
211488,18.01.2009 0:00:00.000000,8
207978,18.01.2009 0:00:00.000000,9
208746,18.01.2009 0:00:00.000000,10
210642,18.01.2009 0:00:00.000000,11
211397,18.01.2009 0:00:00.000000,12
211449,18.01.2009 0:00:00.000000,13
211680,18.01.2009 0:00:00.000000,14
212848,18.01.2009 0:00:00.000000,15
213600,18.01.2009 0:00:00.000000,16
213017,18.01.2009 0:00:00.000000,17
220506,18.01.2009 0:00:00.000000,18
217309,18.01.2009 0:00:00.000000,19
214719,18.01.2009 0:00:00.000000,20
215226,18.01.2009 0:00:00.000000,21
215113,18.01.2009 0:00:00.000000,22
214136,18.01.2009 0:00:00.000000,23
214150,18.01.2009 0:00:00.000000,24
216438,19.01.2009 0:00:00.000000,1
213267,19.01.2009 0:00:00.000000,2
212026,19.01.2009 0:00:00.000000,3
211958,19.01.2009 0:00:00.000000,4
212620,19.01.2009 0:00:00.000000,5
212688,19.01.2009 0:00:00.000000,6
214036,19.01.2009 0:00:00.000000,7
225192,19.01.2009 0:00:00.000000,8
218448,19.01.2009 0:00:00.000000,9
221597,19.01.2009 0:00:00.000000,10
222467,19.01.2009 0:00:00.000000,11
222866,19.01.2009 0:00:00.000000,12
220451,19.01.2009 0:00:00.000000,13
219320,19.01.2009 0:00:00.000000,14
220577,19.01.2009 0:00:00.000000,15
220393,19.01.2009 0:00:00.000000,16
219419,19.01.2009 0:00:00.000000,17
223761,19.01.2009 0:00:00.000000,18
224899,19.01.2009 0:00:00.000000,19
223429,19.01.2009 0:00:00.000000,20
221025,19.01.2009 0:00:00.000000,21
220169,19.01.2009 0:00:00.000000,22
221688,19.01.2009 0:00:00.000000,23
220445,19.01.2009 0:00:00.000000,24
217622,20.01.2009 0:00:00.000000,1
215126,20.01.2009 0:00:00.000000,2
214077,20.01.2009 0:00:00.000000,3
214082,20.01.2009 0:00:00.000000,4
214539,20.01.2009 0:00:00.000000,5
216134,20.01.2009 0:00:00.000000,6
215769,20.01.2009 0:00:00.000000,7
224107,20.01.2009 0:00:00.000000,8
226473,20.01.2009 0:00:00.000000,9
229058,20.01.2009 0:00:00.000000,10
231314,20.01.2009 0:00:00.000000,11
228423,20.01.2009 0:00:00.000000,12
227366,20.01.2009 0:00:00.000000,13
226793,20.01.2009 0:00:00.000000,14
228169,20.01.2009 0:00:00.000000,15
227160,20.01.2009 0:00:00.000000,16
226029,20.01.2009 0:00:00.000000,17
228153,20.01.2009 0:00:00.000000,18
228801,20.01.2009 0:00:00.000000,19
225496,20.01.2009 0:00:00.000000,20
224711,20.01.2009 0:00:00.000000,21
223976,20.01.2009 0:00:00.000000,22
222874,20.01.2009 0:00:00.000000,23
223201,20.01.2009 0:00:00.000000,24
221116,21.01.2009 0:00:00.000000,1
220195,21.01.2009 0:00:00.000000,2
220124,21.01.2009 0:00:00.000000,3
216837,21.01.2009 0:00:00.000000,4
215859,21.01.2009 0:00:00.000000,5
215595,21.01.2009 0:00:00.000000,6
220171,21.01.2009 0:00:00.000000,7
221305,21.01.2009 0:00:00.000000,8
224467,21.01.2009 0:00:00.000000,9
226966,21.01.2009 0:00:00.000000,10
226244,21.01.2009 0:00:00.000000,11
224682,21.01.2009 0:00:00.000000,12
